Stock Code,Stock Name
1,"CHEUNG KONG"
2,"CLP HOLDINGS"
3,"HK & CHINA GAS"
4,"WHARF HOLDINGS"
5,"HSBC HOLDINGS"
6,"POWER ASSETS"
7,"HOIFU ENERGY"
8,"PCCW"
9,"CHEUNG WO IHL"
10,"HANG LUNG GROUP"
11,"HANG SENG BANK"
12,"HENDERSON LAND"
13,"HUTCHISON"
14,"HYSAN DEV"
15,"VANTAGE INT'L"
16,"SHK PPT"
17,"NEW WORLD DEV"
18,"ORIENTAL PRESS"
19,"SWIRE PACIFIC A"
20,"WHEELOCK"
21,"GREAT CHI PPT"
22,"MEXAN"
23,"BANK OF E ASIA"
24,"BURWILL"
25,"CHEVALIER INT'L"
26,"CHINA MOTOR BUS"
27,"GALAXY ENT"
28,"TIAN AN"
29,"DYNAMIC HOLD"
30,"ABC COM (HOLD)"
31,"CHINA AEROSPACE"
32,"CROSS-HAR(HOLD)"
33,"HARMONIC STR"
34,"KOWLOON DEV"
35,"FE CONSORT INTL"
36,"FE HLDGS INTL"
37,"FE HOTELS"
38,"FIRST TRACTOR"
39,"SINO DISTILL"
40,"GOLD PEAK"
41,"GREAT EAGLE H"
42,"NE ELECTRIC"
43,"C.P. POKPHAND"
44,"HAECO"
45,"HK&S HOTELS"
46,"COMPUTER & TECH"
47,"HOP HING GROUP"
48,"C AUTO INT DECO"
50,"HK FERRY (HOLD)"
51,"HARBOUR CENTRE"
52,"FAIRWOOD HOLD"
53,"GUOCO GROUP"
54,"HOPEWELL HOLD"
55,"NEWAY GROUP"
56,"ALLIED PPT (HK)"
57,"CHEN HSONG HOLD"
58,"SUNWAY INT'L"
59,"SKYFAME REALTY"
60,"HK FOOD INV"
61,"NORTH ASIA RES"
62,"TRANSPORT INT'L"
63,"WINFOONG INT'L"
64,"GET NICE"
65,"DETEAM CO LTD"
66,"MTR CORPORATION"
67,"LUMENA NEWMAT"
68,"LEE HING"
69,"SHANGRI-LA ASIA"
70,"NEPTUNE GROUP"
71,"MIRAMAR HOTEL"
72,"MODERN MEDIA"
73,"ASIAN CITRUS"
75,"Y.T. REALTY"
76,"SOUTH SEA PETRO"
77,"AMS TRANSPORT"
78,"REGAL INT'L"
79,"CENTURY LEGEND"
80,"CNEWECON FUND"
81,"CH OVS G OCEANS"
82,"V1 GROUP"
83,"SINO LAND"
84,"STELUX HOLDINGS"
85,"CHINA ELECTRON"
86,"SUN HUNG KAI CO"
87,"SWIRE PACIFIC B"
88,"TAI CHEUNG HOLD"
89,"TAI SANG LAND"
90,"AMBER ENERGY"
91,"INT'L STD RES"
92,"CHAMPION TECH"
93,"TERMBRAY IND"
94,"GREENHEART GP"
95,"LVGEM CHINA"
96,"YUSEI"
97,"HENDERSON INV"
98,"XINGFA ALUM"
99,"WONG'S INT'L"
100,"CLEAR MEDIA"
101,"HANG LUNG PPT"
102,"SUMMIT ASCENT"
103,"SHOUGANG CENT"
104,"ASIA COMM HOLD"
105,"ASSO INT HOTELS"
106,"LANDSEA PPT"
107,"SICHUAN EXPRESS"
108,"GR PROPERTIES"
109,"GOOD FELLOW RES"
110,"CHINA FORTUNE"
111,"CINDA INTL HLDG"
112,"LT COMM REALEST"
113,"DICKSON CONCEPT"
114,"HERALD HOLD"
115,"GRAND FIELD GP"
116,"CHOW SANG SANG"
117,"EYANG HOLDINGS"
118,"COSMOS MACH"
119,"POLY PROPERTY"
120,"COSMOPOL INT'L"
121,"C.P. LOTUS"
122,"CROCODILE"
123,"YUEXIU PROPERTY"
124,"GD LAND"
125,"SUN HING VISION"
126,"CARRIANNA"
127,"CHINESE EST H"
128,"ENM HOLDINGS"
129,"ASIA STANDARD"
130,"MOISELLE INT'L"
131,"CHEUK NANG HOLD"
132,"CHINA INV HOLD"
133,"CHINA MERCHANTS"
135,"KUNLUN ENERGY"
136,"MASCOTTE HOLD"
137,"JINHUI HOLDINGS"
138,"CCT FORTIS"
139,"ICUBE TECH"
141,"GREAT CHINA"
142,"FIRST PACIFIC"
143,"GLOBAL TECH"
144,"CHINA MER HOLD"
145,"HK BLDG & LOAN"
146,"TAI PING CARPET"
147,"CHAOYUE GROUP"
148,"KINGBOARD CHEM"
149,"CH AGRI-PROD EX"
151,"WANT WANT CHINA"
152,"SHENZHEN INT'L"
153,"CHINA SAITE"
154,"BEIJING DEV(HK)"
155,"CHINA SOLAR"
156,"LIPPO CHINA RES"
157,"NATURAL BEAUTY"
158,"MELBOURNE ENT"
159,"BROCKMAN MINING"
160,"HON KWOK LAND"
161,"AVIC IHL"
162,"CENTURY GINWA"
163,"EMPEROR INT'L"
164,"CHINA GAMMA"
165,"CHINA EB LTD"
166,"NEWTIMES ENERGY"
167,"IDT INT'L"
168,"TSINGTAO BREW"
169,"WANDA COMM PPT"
170,"CHINA ASSETS"
171,"SILVER GRANT"
172,"GOLDBOND GROUP"
173,"K. WAH INT'L"
174,"GEMINI INV"
175,"GEELY AUTO"
176,"UNITED PACIFIC"
177,"JIANGSU EXPRESS"
178,"SA SA INT'L"
179,"JOHNSON ELEC H"
180,"KADER HOLDINGS"
181,"FUJIAN HOLDINGS"
182,"CHINA WINDPOWER"
183,"RICHFIELD GP"
184,"KECK SENG INV"
185,"HENG FAI ENT"
186,"GRANDE HOLDINGS"
187,"JINGCHENG MAC"
188,"SUNWAH KINGSWAY"
189,"DONGYUE GROUP"
190,"HKC (HOLDINGS)"
191,"LAI SUN INT'L"
193,"CAPITAL ESTATE"
194,"LIU CHONG HING"
195,"L'SEA RESOURCES"
196,"HONGHUA GROUP"
197,"HENG TAI"
198,"SMI CORP"
199,"ITC PROPERTIES"
200,"MELCO INT'L DEV"
201,"MAGNIFICENT"
202,"EVERCHINA INT'L"
204,"CHINA INV DEV"
205,"SEEC MEDIA"
206,"TSC GROUP"
207,"COFCO LAND"
208,"POLYTEC ASSET"
209,"CH TYCOON BEV"
210,"DAPHNE INT'L"
211,"STYLAND HOLD"
212,"NANYANG HOLD"
213,"NATIONAL ELEC H"
214,"ASIA ORIENT"
215,"HUTCHTEL HK"
216,"CHINNEY INV"
217,"CHINA CHENGTONG"
218,"SHENYIN WANGUO"
219,"SHUN HO TECH"
220,"U-PRESID CHINA"
221,"PNG RESOURCES"
222,"MIN XIN HOLD"
223,"SRGL"
224,"PIONEER GLOBAL"
225,"POKFULAM"
226,"LIPPO"
227,"FIRST SHANGHAI"
228,"CHINA ENERGY"
229,"RAYMOND IND"
230,"MINMETALS LAND"
231,"MADEX INTL HOLD"
232,"AVIC INT'L"
233,"MY MEDICARE"
234,"NEW CENTURY GP"
235,"CHINA STRATEGIC"
236,"SAN MIGUEL HK"
237,"SAFETY GODOWN"
238,"EVERGREEN INT"
239,"PAK FAH YEOW"
240,"BUILD KING HOLD"
241,"CITIC 21CN"
242,"SHUN TAK HOLD"
243,"QPL INT'L"
244,"SINCERE"
245,"CHINA SEVENSTAR"
246,"REALGOLD MINING"
247,"TST PROPERTIES"
248,"HKC INT'L HOLD"
250,"SINO-I TECH"
251,"SEA HOLDINGS"
252,"SE ASIA PPT"
253,"SHUN HO RES"
254,"NUR HOLDINGS"
255,"LUNG KEE"
256,"CITYCHAMP"
257,"CHINA EB INT'L"
258,"TOMSON GROUP"
259,"YEEBO (INT'L H)"
260,"CH ENV INV H"
261,"CCT LAND"
262,"DESON DEV INT'L"
263,"CH YUNNAN TIN"
264,"CHANCO INT'L"
265,"SOUTH CHINA H"
266,"TIAN TECK LAND"
267,"CITIC"
268,"KINGDEE INT'L"
269,"CRTG"
270,"GUANGDONG INV"
271,"DAN FORM HOLD"
272,"SHUI ON LAND"
273,"WILLIE INT'L"
274,"C BILLION RES"
275,"HANNY HOLDINGS"
276,"MONGOLIA ENERGY"
277,"TERN PROPERTIES"
278,"WAH HA REALTY"
279,"FREEMAN FIN"
280,"KING FOOK HOLD"
281,"RIVERA (HOLD)"
282,"NEXT MEDIA"
283,"GOLDIN PPT"
285,"BYD ELECTRONIC"
286,"CS HEALTH"
287,"WINFAIR INV"
288,"WH GROUP"
289,"WING ON CO"
290,"C FORTUNE FIN"
291,"CHINA RESOURCES"
292,"ASIA STD HOTEL"
293,"CATHAY PAC AIR"
294,"YANGTZEKIANG"
295,"KONG SUN HOLD"
296,"EMPEROR E HOTEL"
297,"SINOFERT"
298,"CHUANG'S CHINA"
299,"SINOCOM SOFT"
300,"KUNMING MACHINE"
303,"VTECH HOLDINGS"
305,"WULING MOTORS"
306,"KWOON CHUNG BUS"
307,"UP ENERGY DEV"
308,"CHINA TRAVEL HK"
309,"XH NEWS MEDIA"
310,"PROSP INV HOLD"
311,"LUEN THAI"
312,"SHIRBLE STORE"
313,"RICHLY FIELD"
315,"SMARTONE TELE"
316,"OOIL"
317,"GUANGZHOU SHIP"
318,"VONGROUP"
319,"CHINA METAL"
320,"COMPUTIME"
321,"TEXWINCA HOLD"
322,"TINGYI"
323,"MAANSHAN IRON"
326,"CHINA STAR ENT"
327,"PAX GLOBAL"
328,"ALCO HOLDINGS"
329,"DRAGONITE INT'L"
330,"ESPRIT HOLDINGS"
332,"YUANHENG GAS"
333,"TOP FORM INT'L"
334,"PROVIEW INT'L"
335,"UPBEST GROUP"
336,"HUABAO INTL"
337,"GREENLAND HK"
338,"SHANGHAI PECHEM"
339,"EARNEST INV"
340,"CHINA MINING"
341,"CAFE DE CORAL H"
342,"NEWOCEAN ENERGY"
343,"CULTURECOM HOLD"
345,"VITASOY INT'L"
346,"YANCHANG PETRO"
347,"ANGANG STEEL"
348,"LUNG CHEONG"
350,"JINGWEI TEXTILE"
351,"ASIA ENERGY LOG"
352,"FORTUNE SUN"
353,"ENERGY INTINV"
354,"CHINASOFT INT'L"
355,"CENTURY C INT'L"
356,"DT CAPITAL"
357,"MEILAN AIRPORT"
358,"JIANGXI COPPER"
359,"HAISHENG JUICE"
360,"NEW FOCUS AUTO"
361,"SINO GOLF HOLD"
362,"C ZENITH CHEM"
363,"SHANGHAI IND H"
364,"PING SHAN TEA"
365,"SUN EAST TECH"
366,"LUKS GROUP (VN)"
367,"CHUANG'S INT'L"
368,"SINOTRANS SHIP"
369,"WING TAI PPT"
370,"CHINA BEST"
371,"BJ ENT WATER"
372,"ITC CORPORATION"
373,"ALLIED GROUP"
374,"FOUR SEAS MER"
375,"YGM TRADING"
376,"REORIENT GROUP"
377,"NEWISLAND DEV"
378,"CIAM GROUP"
379,"PME"
380,"CHINA PIPE"
381,"KIU HUNG ENERGY"
382,"WELLING HOLDING"
383,"COL CAPITAL"
384,"CHINA GAS HOLD"
385,"CHINNEY ALLI"
386,"SINOPEC CORP"
387,"LEEPORT(HOLD)"
388,"HKEX"
389,"TONTINE WINES"
390,"CHINA RAILWAY"
391,"MEI AH ENTER"
392,"BEIJING ENT"
393,"GLORIOUS SUN"
395,"SMARTAC GP CH"
396,"HING LEE (HK)"
397,"JUNYANG SOLAR"
398,"ORIENTAL WATCH"
399,"UNITED GENE GP"
400,"COGOBUY"
401,"WANJIA GROUP"
402,"PEACEMAP HOLD"
403,"STARLITE HOLD"
404,"HSIN CHONG CONS"
405,"YUEXIU REIT"
406,"YAU LEE HOLD"
408,"YIP'S CHEMICAL"
410,"SOHO CHINA"
411,"LAM SOON (HK)"
412,"HERITAGE INT'L"
413,"SOUTH CHINA CHI"
417,"TSE SUI LUEN"
418,"FOUNDER HOLD"
419,"JIUHAO HEALTH"
420,"FOUNTAIN SET"
421,"CDAYENONFER PRE"
422,"VMEP HOLDINGS"
423,"HKET HOLDINGS"
